"","rating","y"
"2",5,"Four Rooms_1995"
"9",5,"Seven (Se7en)_1995"
"14",5,"From Dusk Till Dawn_1996"
"19",5,"Braveheart_1995"
"30",5,"Desperado_1995"
"47",5,"Star Wars_1977"
"52",5,"Pulp Fiction_1994"
"58",5,"Stargate_1994"
"84",5,"Nightmare Before Christmas, The_1993"
"87",5,"Home Alone_1990"
"88",5,"Aladdin_1992"
"89",5,"Terminator 2: Judgment Day_1991"
"90",5,"Dances with Wolves_1990"
"109",5,"Rock, The_1996"
"113",5,"Independence Day (ID4)_1996"
"119",5,"Godfather, The_1972"
"127",5,"2001: A Space Odyssey_1968"
"135",5,"Sound of Music, The_1965"
"136",5,"Die Hard_1988"
"143",5,"Willy Wonka and the Chocolate Factory_1971"
"148",5,"Reservoir Dogs_1992"
"160",5,"Monty Python and the Holy Grail_1974"
"164",5,"Empire Strikes Back, The_1980"
"165",5,"Princess Bride, The_1987"
"166",5,"Raiders of the Lost Ark_1981"
"168",5,"Aliens_1986"
"169",5,"Good, The Bad and The Ugly, The_1966"
"172",5,"Apocalypse Now_1979"
"174",5,"GoodFellas_1990"
"176",5,"Psycho_1960"
"184",5,"Right Stuff, The_1983"
"186",5,"Terminator, The_1984"
"189",5,"Nikita (La Femme Nikita)_1990"
"194",5,"Unforgiven_1992"
"209",5,"Cape Fear_1991"
"210",5,"Nightmare on Elm Street, A_1984"
"214",5,"Sling Blade_1996"
"217",5,"Star Trek VI: The Undiscovered Country_1991"
"220",5,"Star Trek IV: The Voyage Home_1986"
"222",5,"Young Guns_1988"
"224",5,"Jaws_1975"
"228",5,"Raising Arizona_1987"
"260",5,"Good Will Hunting_1997"
"270",5,"Time to Kill, A_1996"
"290",5,"L.A. Confidential_1997"
"302",5,"Apt Pupil_1998"
"303",5,"As Good As It Gets_1997"
"305",5,"Schindler's List_1993"
"320",5,"Game, The_1997"
"334",5,"Wag the Dog_1997"
"342",5,"One Flew Over the Cuckoo's Nest_1975"
"351",5,"Dangerous Minds_1995"
"378",5,"Mrs. Doubtfire_1993"
"388",5,"Batman_1989"
"405",5,"Alice in Wonderland_1951"
"421",5,"American Werewolf in London, An_1981"
"428",5,"Birds, The_1963"
"432",5,"Carrie_1976"
"455",5,"Tombstone_1993"
"460",5,"Trainspotting_1996"
"464",5,"Vertigo_1958"
"485",5,"Dumbo_1941"
"499",5,"Boot, Das_1981"
"511",5,"Gandhi_1982"
"515",5,"Shine_1996"
"533",5,"Rob Roy_1995"
"534",5,"Die Hard: With a Vengeance_1995"
"536",5,"Species_1995"
"538",5,"Waterworld_1995"
"562",5,"Demolition Man_1993"
"573",5,"Wild Bunch, The_1969"
"575",5,"Primal Fear_1996"
"587",5,"Rear Window_1954"
"666",5,"In the Line of Fire_1993"
"724",5,"Ransom_1996"
"728",5,"Real Genius_1985"
"745",5,"Happy Gilmore_1996"
"784",5,"Hard Target_1993"
"948",5,"Inspector General, The_1949"
"955",5,"Fear_1996"
"1024",5,"Fearless_1993"
"1114",5,"Doors, The_1991"
"1190",5,"Blue Sky_1994"
"1199",5,"Higher Learning_1995"
"1417",5,"Jason's Lyric_1994"
